countyName,metro,pop-2010,pop-2011,pop-2012,pop-2013,pop-2014,pop-2015
Aitkin County,,16202,16202,15919,15749,15762,15715
Anoka County,,330844,334053,336748,341465,342612,344838
Becker County,,32504,32770,32973,33167,33272,33567
Beltrami County,,44442,45212,45325,45652,45770,45873
Benton County,,38451,38558,38861,39219,39518,39739
Big Stone County,,5269,5240,5164,5127,5124,5054
Blue Earth County,,64013,64383,65089,65218,65620,66179
Brown County,,25893,25756,25559,25465,25463,25434
Carlton County,,35386,35492,35404,35505,35576,35635
Carver County,,91042,92104,93584,95463,97162,98798
Cass County,,28567,28396,28350,28604,28570,28718
Chippewa County,,12441,12332,12181,12146,12132,12117
Chisago County,,53887,53929,53576,53743,54134,54332
Clay County,,58999,59644,60118,60426,61196,62181
Clearwater County,,8695,8774,8713,8837,8794,8802
Cook County,,5176,5216,5190,5185,5231,5219
Cottonwood County,,11687,11682,11592,11610,11633,11575
Crow Wing County,,62500,62745,62876,63216,63371,63481
Dakota County,,398552,401221,404493,408732,411507,414490
Dodge County,,20087,20243,20237,20342,20352,20378
Douglas County,,36009,36240,36412,36529,36789,37103
Faribault County,,14553,14506,14280,14192,14124,13945
Fillmore County,,20866,20868,20837,20827,20783,20826
Freeborn County,,31255,31160,31027,30917,30831,30642
Goodhue County,,46183,46168,46331,46447,46480,46611
Grant County,,6018,5993,5950,5990,5923,5872
Hennepin County,,1152425,1163060,1180138,1195058,1210720,1221703
Houston County,,19027,18933,18839,18814,18766,18788
Hubbard County,,20428,20439,20359,20585,20596,20679
Isanti County,,37816,38209,38235,38231,38397,38521
Itasca County,,45058,45034,45199,45542,45639,45658
Jackson County,,10266,10203,10279,10265,10266,10113
Kanabec County,,16239,16170,16011,16009,15966,15908
Kandiyohi County,,42239,42118,42315,42351,42258,42510
Kittson County,,4552,4528,4496,4498,4440,4422
Koochiching County,,13311,13221,13208,13217,13018,12889
Lac Qui Parle County,,7259,7195,7109,7041,6922,6866
Lake County,,10866,10822,10815,10777,10695,10634
Lake of the Woods County,,4045,4011,3976,3932,3921,3925
Le Sueur County,,27703,27655,27673,27834,27791,27704
Lincoln County,,5896,5819,5816,5830,5788,5770
Lyon County,,25857,25951,25667,25648,25746,25776
McLeod County,,36651,36489,36104,36095,35942,35930
Mahnomen County,,5413,5441,5504,5534,5503,5456
Marshall County,,9439,9473,9445,9424,9420,9417
Martin County,,20840,20716,20477,20429,20295,20122
Meeker County,,23300,23242,23056,23109,23122,23110
Mille Lacs County,,26097,26003,25743,25817,25862,25788
Morrison County,,33198,33212,33049,32877,32859,32786
Mower County,,39163,39281,39314,39356,39356,39181
Murray County,,8725,8640,8573,8536,8475,8418
Nicollet County,,32727,32949,33018,33002,33350,33432
Nobles County,,21378,21365,21474,21593,21574,21743
Norman County,,6852,6859,6656,6634,6643,6666
Olmsted County,,144248,145379,147123,149189,150201,151388
Otter Tail County,,57303,57243,57297,57588,57612,57679
Pennington County,,13930,14018,14075,14121,14119,14206
Pine County,,29750,29647,29248,29125,29196,29107
Pipestone County,,9596,9525,9394,9306,9336,9281
Polk County,,31600,31489,31429,31569,31545,31529
Pope County,,10995,10896,10897,10929,10982,11016
Ramsey County,,508640,510810,517399,525146,529506,533677
Red Lake County,,4089,4105,4086,4071,4048,4039
Redwood County,,16059,15986,15842,15755,15573,15486
Renville County,,15730,15540,15389,15214,15067,14965
Rice County,,64142,64717,64747,64656,65180,65420
Rock County,,9687,9644,9567,9524,9555,9601
Roseau County,,15629,15536,15484,15522,15663,15771
Scott County,,129928,131556,133326,136926,138727,140898
Sherburne County,,88499,88954,89457,90203,91223,91895
Sibley County,,15226,15193,15118,15074,14919,14884
St. Louis County,,200226,200143,200024,200398,200840,200381
Stearns County,,150642,150996,151591,152063,153326,154446
Steele County,,36576,36530,36299,36417,36532,36708
Stevens County,,9726,9749,9751,9748,9836,9804
Swift County,,9783,9677,9609,9551,9453,9361
Todd County,,24895,24823,24526,24374,24266,24255
Traverse County,,3558,3530,3471,3460,3392,3405
Wabasha County,,21676,21589,21482,21442,21376,21265
Wadena County,,13843,13709,13778,13821,13768,13879
Waseca County,,19136,19166,19229,19075,19029,18988
Washington County,,238136,240640,243313,248095,249109,251015
Watonwan County,,11211,11197,11188,11136,11095,10995
Wilkin County,,6576,6584,6586,6558,6503,6421
Winona County,,51461,51386,51563,51362,51109,51128
Wright County,,124700,126033,127133,128459,129946,131361
Yellow Medicine County,,10438,10331,10214,10150,10127,9945
